Time [s],V1_1 [V],V1_2 [V],V1_3 [V],Average [V],σ_V [V],ln(Average),σ_ln
0,12.0,12.0,12.0,12.0,0.06,2.48,0.01
5,10.22,10.22,10.13,10.19,0.05,2.32,0.01
10,8.43,8.44,8.48,8.45,0.05,2.13,0.01
15,7.06,7.07,7.0,7.04,0.04,1.95,0.01
20,5.83,5.84,5.87,5.85,0.03,1.77,0.01
25,4.88,4.89,4.84,4.87,0.03,1.58,0.01
30,4.03,4.03,4.06,4.04,0.03,1.4,0.01
35,3.37,3.38,3.35,3.37,0.02,1.21,0.01
40,2.78,2.79,2.81,2.79,0.02,1.03,0.01
45,2.3,2.3,2.31,2.3,0.02,0.83,0.01
50,1.92,1.93,1.94,1.93,0.02,0.66,0.01
55,1.59,1.59,1.6,1.59,0.02,0.47,0.01
60,1.33,1.33,1.32,1.33,0.02,0.28,0.01
65,1.1,1.1,1.1,1.1,0.02,0.1,0.02
70,0.93,0.92,0.91,0.92,0.02,-0.08,0.02
